Entity,indiv_libs_vdem_owid,electdem_vdem_owid,libdem_vdem_owid,Countries,Economic.Freedom.Summary.Index,Government.consumption,Transfers.and.subsidies,Government.investment,State.ownership.of.assets,Size.of.Government,Judicial.independence,Impartial.courts,Integrity.of.the.legal.system,Legal.enforcement.of.contracts,Gender.Legal.Rights.Adjustment,Legal.System...Property.Rights,Money.growth,Standard.deviation.of.inflation,Inflation..Most.recent.year,Freedom.to.own.foreign.currency.bank.accounts,Sound.Money,Revenue.from.trade.taxes....of.trade.sector.,Tariffs,Black.market.exchange.rates,Financial.Openness,Capital.controls,Controls.of.the.movement.of.capital.and.people,Freedom.to.trade.Internationally,Ownership.of.banks,Private.sector.credit,Interest.rate.controls.negative.real.interest.rates.,Credit.market.regulations,Centralized.collective.bargaining,Hours.Regulations,Conscription,Labor.market.regulations,Impartial.Public.Administration,Regulation,alliance,regimenarrowcat,Regime_type,id
Afghanistan,0.266,0.16,0.104,,5.50657345,6.393604068,8.740967084,5.519733925,5.02510646,6.04138546,5.105874921,6.079327553,4.405145444,5.444572998,0.6805242497,4.434642598,8.437480015,8.036588244,8.64935565,2.897600819,7.157305589,4.834430917,4.754259419,6.30011161,3.065907186,1.699655149,2.336803744,4.499966653,3.21262603,6.896901145,7.439855686,5.316401485,5.89754624,5.932563684,2.392233801,4.700103457,4.887145703,4.776903203,not a US ally,8,Monarchy,1
Albania,0.006,0.173,0.055,Albania,3.713221801,3.170575228,8.262925738,-0.6275201905,0.18,2.378598506,3.7,8.43,5.24,5.3064066,1,5.79,7.076990472,5.976894815,8.268595749,0,5.228337831,1.44135239,1.181993671,0,0.5532092223,0,0,0.9488707822,-1.193845359,2.474679398,6.7917368,-1.12849885,4.220652291,4.846848448,0,4.21571416,1.75,3.230020565,not a US ally,4,Single-party rule,2
Algeria,0.428,0.084,0.065,Algeria,4.68,5.54,9.322153726,7.32,2.49,5.11,3.77,5.87,4.25,4.577184886,0.53,3.54,7.48,9.35,8.92,0,6.44,2.538643489,2.433870921,0,0,0,0,2.182805029,0,5.632514221,6.790804908,0,5.540452025,6.185717556,3,4.572434509,3.91,3.63,not a US ally,7,Military rule,3
Angola,0.024,0.01,0.035,Angola,4.547753629,6.109552552,8.385527439,4.949295508,3.18,5.434621553,5.05,7.42,2.38,4.977996882,0.47,3.64,6.77016601,6.086807463,7.416371565,2.032278126,5.50100539,4.666203831,4.322304898,5.159398666,1.416549682,0.4897256745,0.9448232406,3.45659042,1.404067046,5.70677746,5.849106046,2.778420335,4.641345689,5.671837925,0.5362427863,3.955813275,2.37,3.778725131,not a US ally,NA,unknown,4
Argentina,0.354,0.105,0.086,Argentina,5.98,7.93,8.006017676,8.187807876,6.15,7.04,5.4,7.1,3.42,5.75,0.41,3.82,5.96,6.22,8.84,10,7.75,8.166829447,7.885423309,10,5.97,2,3.98,7.136346621,5,8.96,6.902559631,6.98,5.18,5.72,0,3.63,2.42,5.31,US ally,7,Military rule,5
Armenia,0.094,0.102,0.024,Armenia,4.543789664,6.061647287,9.695219305,2.974573467,3.267025655,5.071439032,3.22,5.055526372,3.23510597,4.362271304,0.82,3.581965779,8.070735674,7.152537121,8.7909845,2.158906492,6.63529404,1.981033724,1.910843341,2.585925351,2.262425928,0.8408217585,1.495686253,2.247583087,0.1218473182,5.24581432,7.300524195,2.667147547,6.120053271,5.976917411,3.102853108,5.022988686,3.19181877,4.010850387,not a US ally,4,Single-party rule,6
Australia,0.98,0.86,0.807,Australia,7.56,6.17,6.968283263,10,7.38,7.85,8.46,8.9,7.79,8,0.88,7.8,9.81,9.61,8.9,10,9.58,7.53,7.53,10,4.16,2,3.08,6.87,8,5.77,10,7.92,5.18,5.321900097,0,4.346862035,9.76,5.72,US ally,0,Democracy,7
Austria,0.949,0.843,0.728,Austria,6.61,5.45,6.07,7.82,4.78,6.03,7.57,8.59,7.31,8.25,0.59,6.3,9.74,9.71,9.05,5,8.38,8.27,8.27,10,4.49,2,3.24,7.17,5,8.47,8,7.16,4.49,5.01,0,3.17,8.06,5.16,not a US ally,0,Democracy,8
Azerbaijan,0.094,0.102,0.024,Azerbaijan,4.562496736,6.06273795,9.676493048,3.009095744,3.295890425,5.08345667,3.26,5.083933166,3.264760754,4.386047782,0.82,3.608955283,8.078884443,7.169225724,8.789475987,2.170524142,6.644988195,2.025846743,1.955873797,2.637311682,2.279964068,0.8605989862,1.513859583,2.284015375,0.1824491732,5.271232866,7.30605697,2.715618227,6.11853041,5.973362671,3.112879683,5.023542869,3.231986899,4.029371576,not a US ally,4,Single-party rule,9
Bahrain,0.449,0.024,NA,Bahrain,5.99074219,7.066136385,9.231391419,7.644777744,2.55,7.220192766,4.29,4.494401036,4.01,5.140193316,0.35,2.81,9.752809304,9.44,9.67,3.519277888,9.56,6.122320987,6.210918357,10.12270246,3.669849858,2,2,6.088644898,3.542682426,10,8.432797969,10,6.308790889,6.602107864,-1.105165897,3.916456352,5.16,4.570042528,not a US ally,NA,unknown,10
Bangladesh,0.383,0.168,0.09,Bangladesh,4.619361554,4.661760771,9.111140286,2.657809726,3.079495839,4.400812127,5.9,4.07,3.69,4.927320916,0.65,3.75,8.931886065,7.01,9.9,1.153490137,8.46,2.987257882,2.985709013,4.526005929,1.79873797,0,0,3.075663579,0,5.017861465,8.120341782,0,5.33174542,5.851836616,-1.028314749,3.833183993,4.25782319,3.492101445,not a US ally,7,Military rule,11
Barbados,0.904,0.726,0.618,Barbados,6.455934771,7,9.34,8.358428504,6.89,7.74,8.31,7.87,6.53,6.508444611,0.82,6.9,8.27,9.08,8.53,-0.257028235,8.63,6.6,6.6,7.974649173,2.109549057,0,0,5.154900154,7.14830577,9.55,7.10412487,9.55,6.592550034,6.430459674,5.376781409,5.91135559,7.78,6.444295615,US ally,0,Democracy,12
